generation,best_value,best_weight,best_individual_value
1,39,25,39
2,41,25,41
3,41,25,41
4,41,25,41
5,44,26,44
6,44,26,44
7,44,26,44
8,44,26,44
9,44,26,44
10,44,26,44
11,44,26,44
12,44,26,44
13,44,26,44
14,44,26,44
15,44,26,44
16,44,26,44
17,44,26,44
18,44,26,44
19,44,26,44
20,44,26,44
21,44,26,44
22,44,26,44
23,44,26,44
24,44,26,44
25,44,26,44
26,44,26,44
27,44,26,44
28,44,26,44
29,44,26,44
30,44,26,44
31,44,26,44
32,44,26,44
33,44,26,44
34,44,26,44
35,44,26,44
36,44,26,44
37,44,26,44
38,44,26,44
39,44,26,44
40,44,26,44
41,44,26,44
42,44,26,44
43,44,26,44
44,44,26,44
45,44,26,44
46,44,26,44
47,44,26,44
48,44,26,44
49,44,26,44
50,44,26,44
51,44,26,44
52,44,26,44
53,44,26,44
54,44,26,44
55,44,26,44
56,44,26,44
57,44,26,44
58,44,26,44
59,44,26,44
60,44,26,44
61,44,26,44
62,44,26,44
63,44,26,44
64,44,26,44
65,44,26,44
66,44,26,44
67,44,26,44
68,44,26,44
69,44,26,44
70,44,26,44
71,44,26,44
72,44,26,44
73,44,26,44
74,44,26,44
75,44,26,44
76,44,26,44
77,44,26,44
78,44,26,44
79,44,26,44
80,44,26,44
81,44,26,44
82,44,26,44
83,44,26,44
84,44,26,44
85,44,26,44
86,44,26,44
87,44,26,44
88,44,26,44
89,44,26,44
90,44,26,44
91,44,26,44
92,44,26,44
93,44,26,44
94,44,26,44
95,44,26,44
96,44,26,44
97,44,26,44
98,44,26,44
99,44,26,44
100,44,26,44
101,44,26,44
102,44,26,44
103,44,26,44
104,44,26,44
105,44,26,44
106,44,26,44
107,44,26,44
108,44,26,44
109,44,26,44
110,44,26,44
111,44,26,44
112,44,26,44
113,44,26,44
114,44,26,44
115,44,26,44
116,44,26,44
117,44,26,44
118,44,26,44
119,44,26,44
120,44,26,44
