iteration,best_value
1,9.043371232592293
2,4.344395590857422
3,4.344395590857422
4,4.344395590857422
5,4.344395590857422
6,2.4503752222528767
7,2.4503752222528767
8,2.4503752222528767
9,2.4503752222528767
10,2.4503752222528767
11,2.4503752222528767
12,2.4503752222528767
13,2.4503752222528767
14,0.35972088564967564
15,0.35972088564967564
16,0.35972088564967564
17,0.35972088564967564
18,0.35972088564967564
19,0.2839252238997787
20,0.2839252238997787
21,0.2839252238997787
22,0.2839252238997787
23,0.2839252238997787
24,0.2839252238997787
25,0.2839252238997787
26,0.2839252238997787
27,0.1581163305497597
28,0.1581163305497597
29,0.1581163305497597
30,0.1581163305497597
31,0.1581163305497597
32,0.1581163305497597
33,0.09379567076034334
34,0.09379567076034334
35,0.09379567076034334
36,0.016500062765210544
37,0.016500062765210544
38,0.016500062765210544
39,0.016500062765210544
40,0.0004391695503898063
41,0.0004391695503898063
42,0.0004391695503898063
43,0.0004391695503898063
44,0.0004391695503898063
45,0.0004391695503898063
46,0.0004391695503898063
47,0.0004391695503898063
48,0.0004391695503898063
49,0.0004391695503898063
50,0.0004391695503898063
51,0.0004391695503898063
52,0.0004391695503898063
53,0.0004391695503898063
54,0.0004391695503898063
55,0.0004391695503898063
56,0.00011455837809037916
57,9.805980397814551e-05
58,9.805980397814551e-05
59,9.805980397814551e-05
60,9.805980397814551e-05
61,5.6076504183266707e-05
62,5.6076504183266707e-05
63,5.6076504183266707e-05
64,5.6076504183266707e-05
65,5.6076504183266707e-05
66,5.1288595951604066e-05
67,5.015522073392731e-05
68,2.880402547589256e-07
69,2.880402547589256e-07
70,2.880402547589256e-07
71,2.880402547589256e-07
72,2.880402547589256e-07
73,2.880402547589256e-07
74,2.880402547589256e-07
75,2.880402547589256e-07
76,2.880402547589256e-07
77,2.880402547589256e-07
78,2.880402547589256e-07
79,2.880402547589256e-07
80,2.7526191814786216e-07
81,2.610103635447558e-07
82,6.020788845262359e-08
83,6.020788845262359e-08
84,5.240089251401514e-09
85,5.240089251401514e-09
86,5.240089251401514e-09
87,5.240089251401514e-09
88,4.242608042659413e-09
89,4.242608042659413e-09
90,4.242608042659413e-09
91,4.4785508634959115e-10
92,4.4785508634959115e-10
93,4.4785508634959115e-10
94,4.4785508634959115e-10
95,4.4785508634959115e-10
96,4.4785508634959115e-10
97,4.4785508634959115e-10
98,2.999769321831991e-10
99,2.999769321831991e-10
100,2.999769321831991e-10
101,2.999769321831991e-10
102,2.999769321831991e-10
103,2.999769321831991e-10
104,2.999769321831991e-10
105,2.999769321831991e-10
106,2.999769321831991e-10
107,2.999769321831991e-10
108,2.999769321831991e-10
109,2.999769321831991e-10
110,2.999769321831991e-10
111,2.999769321831991e-10
112,2.999769321831991e-10
113,2.999769321831991e-10
114,4.007461029686965e-11
115,4.007461029686965e-11
116,4.007461029686965e-11
117,4.007461029686965e-11
118,4.007461029686965e-11
119,3.33528760165791e-11
120,3.33528760165791e-11
